Date,Close,High,Low,Open,Volume
1/3/2000,24.71065521,24.81716666,23.64554076,23.64997874,57710200
1/4/2000,23.55678558,24.95918653,23.36151457,24.26686201,51019600
1/5/2000,23.75205231,24.39112098,22.86445693,23.57453323,52389000
1/6/2000,22.36741257,23.68105426,22.20764533,23.21950447,55171200
1/7/2000,23.29050255,23.29050255,21.9768614,22.01236521,41096400
1/10/2000,24.35561562,24.78166137,23.89406605,24.35561562,53619800
1/11/2000,25.47398376,26.23731568,25.0745659,25.15444947,105481800
1/12/2000,25.91778374,26.91189051,25.34972272,25.8112723,97326600
1/13/2000,25.86452484,26.41483388,25.36747152,26.32607436,76104200
1/14/2000,29.27289581,30.28475455,27.90599892,27.97700655,184405200
1/18/2000,29.00662804,30.03623907,28.47407061,28.48738454,102100600
1/19/2000,28.4208107,29.00662379,28.36755496,28.68708938,45568000
1/20/2000,27.160429,28.63383789,27.10717326,28.33205535,70002000
1/21/2000,27.8172493,27.90600887,27.16042848,27.26693996,55558200
1/24/2000,28.06574631,29.78768014,27.90597925,29.03766257,74832600
1/25/2000,28.84686661,28.91787428,27.67524003,28.22554948,51382600
1/26/2000,27.40894508,28.74033814,27.37344127,28.61607479,49306200
1/27/2000,27.87048149,28.72257264,27.12490173,28.22551947,61482000
1/28/2000,26.69886398,28.04800871,26.43258542,27.621963,53922800
1/31/2000,28.10126686,28.13677067,26.379332,26.59235487,68453200
2/1/2000,28.81135941,28.82911132,27.44446189,27.94151553,48051400
2/2/2000,28.4208107,29.23739864,28.31429923,28.68708938,52080600
2/3/2000,29.60129929,29.72559988,28.62465174,28.89101016,56126000
2/4/2000,29.76111412,30.75551889,29.6190563,29.65457075,55953800
2/7/2000,30.66673851,30.7200102,29.5835474,29.81439141,42810000
2/8/2000,30.91535378,31.27049856,30.68450966,30.91535378,38026000
2/9/2000,29.72561264,30.93310467,29.69009817,30.72001784,38615200
2/10/2000,30.57796288,30.72002077,29.31719902,29.65458653,43539200
2/11/2000,30.08074188,30.89757431,29.90316962,30.47140087,37756000
2/14/2000,31.21722603,31.23498327,30.01417309,30.20506341,34374200
2/15/2000,31.82094383,32.06954496,29.90316374,31.23495547,62771400
2/16/2000,30.45364952,32.06955745,30.40037783,31.64338393,46050000
2/17/2000,31.25273705,31.92751205,30.64899099,30.93310678,48669600
2/18/2000,29.93869781,31.39479107,29.88542611,31.25273319,50370000
2/22/2000,30.32934952,30.34710675,28.85549939,29.79663261,45793600
2/23/2000,30.98637199,31.57236069,29.63682227,29.920938,40842000
2/24/2000,32.46022034,33.09948069,31.32375748,31.94526061,85347800
2/25/2000,32.17609406,32.77983975,32.05179347,32.35366632,46299000
2/28/2000,31.92750931,32.54901255,30.75553177,31.71442248,47422200
2/29/2000,32.10507965,32.85088349,31.62563432,32.15835135,44414200
3/1/2000,32.92190552,33.20602121,31.96301507,32.06955845,40813000
3/2/2000,32.88638687,33.25928867,32.42469893,32.7798435,36469800
3/3/2000,33.88079834,34.02285619,32.85087889,33.24153799,34285000
3/6/2000,33.34806824,33.77424163,33.15273876,33.52564049,28032000
3/7/2000,32.88638687,34.0938784,32.72657182,33.47237541,39924200
3/8/2000,32.65555573,33.08172937,31.89199461,32.9929432,46391200
3/9/2000,33.63219833,33.6677128,31.82096062,32.3004059,38375800
3/10/2000,34.14715958,34.27146021,33.34808408,33.49014195,43497600
3/13/2000,34.69762039,35.65651062,33.73873017,33.75648739,67439200
3/14/2000,33.49012756,35.69202354,33.47237034,35.30136458,56785000
3/15/2000,34.14715958,34.98174954,33.72098598,33.82752938,48895600
3/16/2000,35.53221512,35.62100126,33.9873362,35.01725548,54972800
3/17/2000,36.8995285,36.93504297,35.23034868,35.31913484,60851000
3/20/2000,38.35560989,39.03038451,36.91727452,36.91727452,65163600
3/21/2000,39.33227921,39.45657986,38.10702988,38.35563119,51231000
3/22/2000,40.93040848,41.30331025,39.6341309,39.88273208,53693200
3/23/2000,40.52199173,40.82386459,39.61637316,40.45096282,45593800
3/24/2000,39.50984192,41.05472113,39.10142558,39.81171487,46898000
3/27/2000,40.53976822,40.84164122,39.50984857,39.66966369,35766200
